ticker,date,forward_return,z_sentiment,mkt_rf,rf,smb_3,hml_3,smb_5,hml_5,rmw,cma,mom
ADBE,2014-07-29,-0.009962551885322024,-0.46870713552664417,-0.33,0.0,0.71,-0.66,0.63,-0.66,-0.15,-0.14,-0.23
ADBE,2014-08-01,0.04583690050490796,-0.46870713552664417,-0.32,0.0,-0.2,-0.04,-0.24,-0.04,0.1,0.14,0.3
ADBE,2014-08-07,0.08196959175148089,-0.46870713552664417,-0.52,0.0,-0.04,-0.15,-0.05,-0.15,0.07,-0.04,0.12
ADBE,2014-08-08,0.058926726352725556,-0.46870713552664417,1.13,0.0,-0.22,-0.17,-0.16,-0.17,0.34,0.18,0.05
ADBE,2014-08-20,-0.057448527098156066,-0.46870713552664417,0.19,0.0,-0.66,0.29,-0.65,0.29,-0.01,0.28,0.02
ADBE,2014-09-16,-0.12074090661537407,-0.4681375483454472,0.7,0.0,-0.4,-0.11,-0.4,-0.11,0.14,-0.18,0.67
ADBE,2014-09-25,-0.010338162128297967,-0.4687410148604918,-1.63,0.0,0.07,0.12,0.12,0.12,0.31,0.27,-0.23
ADBE,2014-10-14,0.1729632458812329,-0.4687410148604918,0.27,0.0,0.86,-0.13,0.84,-0.13,0.02,0.09,-0.83
ADBE,2014-10-24,0.06282642814894679,-0.4687410148604918,0.65,0.0,-0.47,-0.13,-0.5,-0.13,-0.34,0.1,1.07
ADBE,2014-10-27,0.07414592438032641,-0.4687410148604918,-0.17,0.0,0.11,-0.3,0.07,-0.3,0.12,-0.02,0.33
ADBE,2014-10-29,0.0846459586952466,-0.4687410148604918,-0.17,0.0,-0.06,0.44,0.01,0.44,0.21,0.35,0.27
ADBE,2014-10-31,0.04777521880922042,-0.4687410148604918,1.23,0.0,0.28,0.21,0.31,0.21,0.2,-0.02,0.0
ADBE,2014-11-06,-0.0006934178005735259,-0.4687410148604918,0.49,0.0,0.11,-0.48,0.07,-0.48,0.13,-0.27,0.22
ADBE,2014-11-19,0.05125666858317235,-0.4687410148604918,-0.21,0.0,-0.94,-0.05,-0.88,-0.05,0.39,0.07,-0.11
ADBE,2014-12-11,0.01218810582388441,-0.46817213161880933,0.5,0.0,-0.09,-0.18,-0.06,-0.18,0.19,0.02,0.2
ADBE,2015-01-05,0.004167760605340076,-0.46817213161880933,-1.84,0.0,0.33,-0.68,0.24,-0.68,0.17,-0.08,1.15
ADBE,2015-01-06,0.036438391312982876,-0.46800953508983545,-1.03,0.0,-0.8,-0.29,-0.79,-0.29,0.52,0.06,0.49
ADBE,2015-01-07,0.020109693332889922,-0.4680147954297589,1.19,0.0,0.2,-0.67,0.17,-0.67,0.26,-0.17,0.97
ADBE,2015-01-08,-0.008091008676710199,-0.4680147954297589,1.81,0.0,-0.11,-0.29,-0.1,-0.29,0.1,-0.21,0.14
ADBE,2015-01-09,0.012806317444849391,-0.4680147954297589,-0.85,0.0,0.01,-0.47,-0.03,-0.47,-0.12,-0.16,-0.01
ADBE,2015-01-15,0.09731108619717843,-0.4680252802843622,-1.08,0.0,-1.0,0.61,-0.96,0.61,0.7,0.58,0.74
ADBE,2015-01-20,0.08728501440236358,-0.4691870831694689,0.11,0.0,-0.67,-0.54,-0.73,-0.54,0.02,-0.52,0.74
ADBE,2015-01-22,0.06287418217369423,-0.4691870831694689,1.58,0.0,0.45,0.42,0.45,0.42,0.02,-0.08,0.33
ADBE,2015-01-23,0.04887932576176501,-0.4726333738825294,-0.47,0.0,0.5,-0.77,0.42,-0.77,-0.06,-0.61,0.1
ADBE,2015-01-26,0.0732747042560673,-0.4726333738825294,0.42,0.0,0.6,-0.04,0.59,-0.04,-0.42,-0.12,-0.84
ADBE,2015-01-27,0.10495382166370137,-0.4726333738825294,-1.22,0.0,0.64,0.2,0.72,0.2,-0.35,0.48,-0.42
ADBE,2015-01-28,0.12597862596613663,-0.4726333738825294,-1.39,0.0,-0.06,-0.81,-0.18,-0.81,0.52,-0.22,1.17
ADBE,2015-01-29,0.11376328301667371,-0.4726333738825294,0.98,0.0,0.26,0.03,0.21,0.03,0.01,-0.34,0.6
ADBE,2015-01-30,0.1263368167310137,-0.4726333738825294,-1.31,0.0,-0.78,0.06,-0.83,0.06,-0.16,-0.47,-2.66
ADBE,2015-02-02,0.09168888464497194,-0.4726333738825294,1.24,0.0,-0.46,1.01,-0.38,1.01,0.04,0.16,-0.78
ADBE,2015-02-03,0.09315913164927947,-0.4726333738825294,1.49,0.0,0.15,0.5,0.24,0.5,0.06,0.42,-1.22
ADBE,2015-02-04,0.07291096238881534,-0.4726333738825294,-0.35,0.0,-0.07,-0.21,-0.09,-0.21,0.32,-0.12,0.74
ADBE,2015-02-05,0.06607389783687356,-0.4726333738825294,1.1,0.0,0.46,-0.07,0.43,-0.07,-0.51,-0.18,-0.7
ADBE,2015-02-06,0.047835693092200815,-0.4726333738825294,-0.2,0.0,0.11,0.36,0.11,0.36,-0.19,-0.1,-0.77
ADBE,2015-02-10,0.06377129265280734,-0.4726333738825294,1.05,0.0,-0.3,-0.73,-0.35,-0.73,0.11,-0.4,1.17
ADBE,2015-02-11,0.06314204184996042,-0.4726333738825294,0.03,0.0,-0.08,-0.34,-0.15,-0.34,0.07,-0.1,0.47
ADBE,2015-02-13,0.04117110754055586,-0.4726333738825294,0.47,0.0,0.18,-0.29,0.15,-0.29,-0.3,-0.24,-1.34
ADBE,2015-02-17,-0.0031116021303747576,-0.4726333738825294,0.16,0.0,-0.04,-0.03,-0.03,-0.03,-0.17,-0.15,-0.04
ADBE,2015-02-18,-0.007590427657334309,-0.4726333738825294,0.03,0.0,0.32,-0.84,0.26,-0.84,0.28,-0.19,0.7
